"NO","CASE TYPES","USER GROUPING_NEW","USER GROUPING_OLD","SEGMENT","PRODUCT","SUB PRODUCT","CASE CATEGORY","CASE DESCRIPTION","NEW CASE DESCRIPTION","REQUIRED SUB-DESCRIPTION","SUB","DOC INTAKE","LIST KEBUTUHAN DOKUMEN","SUGGESTION","SUGGESTION - BREAKDOWN","LEVEL OF EFFORT","RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)","BRI NOTES","TEAM NAME","T1 - AGENT CCT/FRONTLINER","T2.1 - SUPPORTING UNIT","T2.2 - SUPPORTING UNIT","T2.3 - SUPPORTING UNIT","T3.1 - PRODUCT OWNER","T3.2 - PRODUCT OWNER","T3.3 - PRODUCT OWNER","T4.1 - TECHNICAL TEAM","T4.2 - TECHNICAL TEAM","T4.3 - TECHNICAL TEAM","T5.1 - THIRD PARTY","T5.2 - THIRD PARTY","T5.3 - THIRD PARTY","TOTAL SLA","NEW SLA","STATUS","GIC","MAKER","CHECKER","SIGNER","COURTESY AWAL","KEBUTUHAN DATA","JENIS PRODUK DAN ATAU LAYANAN LKPBU","KATEGORI PERMASALAHAN LKPBU","JENIS TRANSAKSI LKPBU","PENYEBAB PENGADUAN LKPBU","JENIS PRODUK LBUT","SANDI JENIS  PRODUK LBUT","SEBAB PENGADUAN LBUT","SANDI PENYEBAB LBUT","SF_ID","EXTERNAL_ID","ERROR"
"22","1100","Resolution Center","Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private","Loans","Kartu Kredit","Inquiry","Status Pengajuan Aplikasi, Cara & Syarat [Sanggahan pengajuan kartu kredit]","Nasabah Menanyakan Pengajuan Terkait Produk Kartu Kredit","1.0","1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","1.0","0.0","Sub: Cara, Syarat & Ketentuan, Status, Pembatalan","T1 - Agent CCT/Frontliner","1.0","","","","","","","","","","","","","1.0","0.0","","KKD-AKK-ACQPR","","","","1A","Credit & Digital Lending","Kartu Kredit","","","Pemahaman karakteristik produk oleh Konsumen","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","a1DMR00000009bN2AQ","221100","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"29","1211","Resolution Center","Service & Contact Center - CCT","Individu Umum, Individu Priority & Private","Loans","Kartu Kredit","Request","Program Internal Telesales (agent inbound to outbond)","Nasabah Mengajukan Cicilan Kartu Kredit Melalui Telesales","1.0","1. Transaksi >7 Hari
2. Pengajuan Loan on Phone","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","0.0","0.0","Sub: Transaksi >7 Hari, Pengajuan Loan on Phone","T2.1 - Telesales","1.0","1.0","","","","","","","","","","","","2.0","1.0","","LCC-CCTTELE","","","","1B","Credit & Digital Lending","","","","","Kartu Kredit","KK","Lainnya","999.0","a1DMR00000009bU2AQ","291211","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"35","1708","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private","Loans","Kartu Kredit","Request","Permintaan Pelunasan Awal Cicilan (Refund Merchant, Dobel Cicilan, Error Cicilan)","Nasabah Mengajukan Pembatalan Cicilan Terhadap Transaksi Kartu Kredit","1.0","1. Refund Merchant
2. Dobel Cicilan
3. Error Cicilan","0","","No Change","","Low","3 ~ 5","2.0","7.0","Sub: Refund Merchant, Dobel Cicilan, Error Cicilan","T3.1 - CDD(OPE MSU), T3.2 - CDD(ACU OTO)","1.0","","","","3.0","2.0","","","","","","","","6.0","5.0","","KKD-OPS-MSU","","","","1B","Credit & Digital Lending","Kartu Kredit","Pemblokiran/Penutupan/perubahan rekening secara sepihak","Terkait Sistem Pembayaran","Pemahaman karakteristik produk oleh Konsumen","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","a1DMR00000009ba2AA","351708","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"36","1709","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private","Loans","Kartu Kredit","Request","Permintaan Pelunasan Awal Cicilan (Request Pemegang Kartu)","Nasabah Mengajukan Pelunasan Awal Cicilan","0.0","","1","1. surat pernyataan
2. ktp
3. kartu kredit","No Change","","Medium","6 ~ 10","6.0","20.0","","T3.1 - CDD(OPE MSU), T3.2 - CDD(ACU OTO)","1.0","","","","3.0","3.0","","","","","","","","7.0","6.0","","KKD-OPS-MSU","","","","1C","Credit & Digital Lending","","","","","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","a1DMR00000009bb2AA","361709","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"132","8001","Resolution Center","Service & Contact Center - CCT","All","Servicing","Government Programme","Third Party Support","Bansos-Pemindahan Kuota KPM","Nasabah Menanyakan Informasi pemindahan kuota KPM","0.0","","0","","Move to Resolution Center","Move to CCT","","","0.0","0.0","Done","T1 - Agent CCT/Frontliner","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTNIK","","","","1A","Regular Banking","","","","","Lainnya","XX","Lainnya","999.0","a1DMR00000009d82AA","1328001","Customer Segment: bad value for restricted picklist field: All"
"136","8102","Resolution Center","Service & Contact Center - CRS","All","Loans","KPR, KUR, KMK, KI","Inquiry","Permasalahan Pinjaman (permintaan untuk penyesuaian ketentuan produk pinjaman)","Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Produk Pinjaman","0.0","","0","","Move to Resolution Center","","Very Low","0 ~ 2","0.0","10.0","Sub: TBC, notes: perlu ada call type khusus terkait Komplain","T1 - Agent CCT/Frontliner","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CRC","","","","1A","Regular Banking","Kredit/Pembiayaan Kendaraan Bermotor","","","Pemahaman karakteristik produk oleh Konsumen","Lainnya","XX","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20.0","a1DMR00000009jf2AA","1368102","Customer Segment: bad value for restricted picklist field: All"
"154","8202","Resolution Center","Service & Contact Center - CCT","All","Servicing","Informasi Promo, Program, Produk","Products / Promotion Inquiry","Informasi Product Banking","Nasabah Menanyakan Informasi Product / Program Banking","0.0","","0","","Move to Resolution Center","","Very Low","0 ~ 2","0.0","0.0","","T1 - Agent CCT/Frontliner","1.0","","","","","","","","","","","","","1.0","0.0","","LCC-CCTCALL","","","","1A","Regular Banking","Tabungan","","","Pemahaman karakteristik produk oleh Konsumen","ATM dan/atau Kartu Debet","AD","Lainnya","999.0","a1DMR00000009dR2AQ","1548202","Customer Segment: bad value for restricted picklist field: All"
"156","8204","Resolution Center","Service & Contact Center - SIA","All","Servicing","Servicing - Layanan Contact Center","Customer Feedback / Sentiment Monitoring","Saran Nasabah Layanan Unit Kerja","Nasabah Komplain Terkait Layanan Unit Kerja","0.0","","0","","Move to Resolution Center","Stay in SIA","Medium","6 ~ 10","6.0","7.0","","T2.1 - SIA, T2.2 - Branch(Uker)","1.0","1.0","5.0","","","","","","","","","","","7.0","6.0","","LCC-IML","","","","1B","Regular Banking","Penghimpunan Dana Lainnya","","","Lainnya : Kepuasan Nasabah Terhadap Layanan","Lainnya","XX","Lainnya","999.0","a1DMR00000009ji2AA","1568204","Customer Segment: bad value for restricted picklist field: All"
"157","8205","Resolution Center","Service & Contact Center - QAS","All","Servicing","Servicing - Layanan Contact Center","Customer Feedback / Sentiment Monitoring","Saran Nasabah layanan Contact Center","Nasabah Komplain Terkait Layanan Contact Center","0.0","","0","","Move to Resolution Center","Stay in QAS","High","11 ~ 15","12.0","3.0","","T2.1 - QAS, Include Infomedia","1.0","2.0","","","","","","","","","","","","3.0","2.0","","LCC-QSC","","","","1B","Regular Banking","Penghimpunan Dana Lainnya","","","Lainnya : Kepuasan Nasabah Terhadap Layanan","Lainnya","XX","Lainnya","999.0","a1DMR00000009jj2AA","1578205","Customer Segment: bad value for restricted picklist field: All"
"162","8222","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Komplain RTGS/Kliring IB","Nasabah Komplain Transaksi RTGS Melalui E-Channel","0.0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","1.0","3.0","Sub: RTGS","T2.1 - NFT(ISSUER), Include POD(SRK)","1.0","3.0","","","","","","","","","","","","4.0","3.0","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","RTGS","","","Gangguan / kerusakan perangkat dan sistem teknologi informasi","RTGS","SI","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20.0","a1DMR00000009dX2AQ","1628222","Customer Segment: bad value for restricted picklist field: All"
